size;num_tests;p;c
8;100;0.65;0.9940625
8;100;0.66;0.9945313
8;100;0.67;0.99359375
8;100;0.68;0.999375
8;100;0.69;0.995625
8;100;0.7;0.996875
8;100;0.71;0.9975
8;100;0.72;0.999375
8;100;0.73;0.999375
8;100;0.74;0.999375
8;100;0.75;0.99875
8;100;0.76;0.999375
8;100;0.77;0.999375
8;100;0.78;1.0
8;100;0.79;0.99875
8;100;0.8;0.999375
8;100;0.81;1.0
8;100;0.82;0.999375
8;100;0.83;1.0
8;100;0.84;1.0
8;100;0.85;1.0
8;100;0.86;1.0
8;100;0.87;1.0
8;100;0.88;0.999375
8;100;0.89;1.0
8;100;0.9;1.0
8;100;0.91;1.0
8;100;0.92;1.0
8;100;0.93;0.999375
8;100;0.94;1.0
8;100;0.95;0.999375
8;100;0.96;0.999375
8;100;0.97;1.0
8;100;0.98;1.0
8;100;0.99;1.0
8;100;1.0;1.0
9;100;0.0;1.0
9;100;0.01;0.9903703
9;100;0.02;0.9697529
9;100;0.03;0.93271583
9;100;0.04;0.909259
9;100;0.05;0.8660494
9;100;0.06;0.8066668
9;100;0.07;0.7671607
9;100;0.08;0.71530867
9;100;0.09;0.6853085
9;100;0.1;0.66518503
9;100;0.11;0.622716
9;100;0.12;0.6150618
9;100;0.13;0.5613582
9;100;0.14;0.48839512
9;100;0.15;0.46296307
9;100;0.16;0.41827148
9;100;0.17;0.3748148
9;100;0.18;0.4025925
9;100;0.19;0.36160493
9;100;0.2;0.3407407
9;100;0.21;0.26580235
9;100;0.22;0.31283945
9;100;0.23;0.30024683
9;100;0.24;0.28172836
9;100;0.25;0.28432098
9;100;0.26;0.28456783
9;100;0.27;0.2796296
9;100;0.28;0.29716045
9;100;0.29;0.2665432
9;100;0.3;0.29740742
9;100;0.31;0.30209875
9;100;0.32;0.37790123
9;100;0.33;0.4135801
9;100;0.34;0.35938278
9;100;0.35;0.42864186
9;100;0.36;0.4608642
9;100;0.37;0.482716
9;100;0.38;0.4911112
9;100;0.39;0.5204939
